id,name,release date,artists,popularity,preview url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,2020-03-27,Dua Lipa,81,https://p.scdn.co/mp3-preview/cfc6684fc467e40bb9c7e6da2ea1b22eeccb211c?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.793,0.793,11.0,-4.521,0.0,0.083,0.0123,0.0,0.0951,0.679,123.95,audio_features,spotify:track:3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/tracks/3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/audio-analysis/3PfIrDoz19wz7qK7tYeu62,183290.0,4.0
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,2020-03-27,Dua Lipa,75,https://p.scdn.co/mp3-preview/a0078bbdb4351ec221eb7f330bd01856636601b5?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.73,0.729,4.0,-3.434,0.0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,audio_features,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820.0,4.0
68UU9oaQtMDnh6PRlW842H,I Like Him,2020-02-26,Princess Nokia,56,https://p.scdn.co/mp3-preview/81f8c55a1a73af403980382e623a1c40784dadb2?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.893,0.579,9.0,-8.995,1.0,0.113,0.0641,0.000121,0.215,0.611,133.018,audio_features,spotify:track:68UU9oaQtMDnh6PRlW842H,https://api.spotify.com/v1/tracks/68UU9oaQtMDnh6PRlW842H,https://api.spotify.com/v1/audio-analysis/68UU9oaQtMDnh6PRlW842H,132453.0,4.0
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),2020-03-27,Dua Lipa,80,https://p.scdn.co/mp3-preview/6af6db91dba9103cca41d6d5225f6fe120fcfcd3?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,audio_features,spotify:track:5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,203064.0,4.0
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),2021-03-31,Lil Nas X,69,https://p.scdn.co/mp3-preview/f653a289186d0de9a7685e2958ed5d86e073f3c0?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.61,0.508,8.0,-6.682,0.0,0.152,0.297,0.0,0.384,0.758,178.818,audio_features,spotify:track:67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/audio-analysis/67BtfxlNbhBmCDR2L2l8qd,137876.0,4.0
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),2021-04-09,Doja Cat,72,https://p.scdn.co/mp3-preview/e3ea7622ca746e1e96c3dac7d7e07b7ccfdeb3f1?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.762,0.701,8.0,-3.541,1.0,0.0286,0.235,0.000158,0.123,0.742,110.968,audio_features,spotify:track:748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK,208867.0,4.0
073ILU1C3APNRGF66VhtyA,Liar,2019-12-06,Camila Cabello,60,https://p.scdn.co/mp3-preview/b043b84b93a893045b47db32f6dd5364a8b6dfda?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.74,0.498,11.0,-6.684,0.0,0.0456,0.0169,0.00282,0.319,0.652,98.016,audio_features,spotify:track:073ILU1C3APNRGF66VhtyA,https://api.spotify.com/v1/tracks/073ILU1C3APNRGF66VhtyA,https://api.spotify.com/v1/audio-analysis/073ILU1C3APNRGF66VhtyA,207039.0,4.0
2xJCMIJfcNYDc5iR0sAm2O,New Rules,2015,Dua Lipa,58,https://p.scdn.co/mp3-preview/e4f2ca20fc8aea1eb592d613d7a4b4da6012eaa2?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.762,0.7,9.0,-6.021,0.0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,audio_features,spotify:track:2xJCMIJfcNYDc5iR0sAm2O,https://api.spotify.com/v1/tracks/2xJCMIJfcNYDc5iR0sAm2O,https://api.spotify.com/v1/audio-analysis/2xJCMIJfcNYDc5iR0sAm2O,209320.0,4.0
58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,2018-08-31,Kina,70,https://p.scdn.co/mp3-preview/cd3688f74f4f5641fb5047d20c79dc27a8c01125?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.522,0.128,4.0,-18.717,1.0,0.0357,0.894,0.026,0.0941,0.124,109.986,audio_features,spotify:track:58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/tracks/58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/audio-analysis/58wyJLv6yH1La9NIZPl3ne,187932.0,4.0
7a53HqqArd4b9NF4XAmlbI,Kings & Queens,2020-09-18,Ava Max,79,https://p.scdn.co/mp3-preview/dc90347787fa47daa898d4ffbfff36074d184d64?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.637,0.69,1.0,-4.057,0.0,0.0405,0.00786,0.0,0.124,0.457,129.857,audio_features,spotify:track:7a53HqqArd4b9NF4XAmlbI,https://api.spotify.com/v1/tracks/7a53HqqArd4b9NF4XAmlbI,https://api.spotify.com/v1/audio-analysis/7a53HqqArd4b9NF4XAmlbI,162399.0,4.0
4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),2018-06-22,Bebe Rexha,69,https://p.scdn.co/mp3-preview/0b972d24c49e50be428edfacbafae85cb80249e9?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.642,0.772,10.0,-6.61,1.0,0.0848,0.0476,0.0,0.0646,0.589,153.995,audio_features,spotify:track:4e4fqjx0Izh4svvTef1z7e,https://api.spotify.com/v1/tracks/4e4fqjx0Izh4svvTef1z7e,https://api.spotify.com/v1/audio-analysis/4e4fqjx0Izh4svvTef1z7e,164205.0,4.0
6USdi8uX5GNAPYziFhisHb,What If I Told You That I Love You,2021-03-26,Ali Gatie,62,https://p.scdn.co/mp3-preview/1d6d7147c60a012c2d02f2f86323978e53ee30d0?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.596,0.366,7.0,-11.144,1.0,0.115,0.63,7.04e-06,0.0554,0.229,84.394,audio_features,spotify:track:6USdi8uX5GNAPYziFhisHb,https://api.spotify.com/v1/tracks/6USdi8uX5GNAPYziFhisHb,https://api.spotify.com/v1/audio-analysis/6USdi8uX5GNAPYziFhisHb,193668.0,4.0
6Pgmqg15yVexuOgtzuxwoX,Dancing in My Room,2020-10-26,347aidan,65,https://p.scdn.co/mp3-preview/773e7112a8b68bf0e104828685d57fb5b245408e?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.98,0.413,8.0,-11.052,0.0,0.101,0.671,7.95e-05,0.17,0.764,119.993,audio_features,spotify:track:6Pgmqg15yVexuOgtzuxwoX,https://api.spotify.com/v1/tracks/6Pgmqg15yVexuOgtzuxwoX,https://api.spotify.com/v1/audio-analysis/6Pgmqg15yVexuOgtzuxwoX,180139.0,4.0
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,2020-03-27,Giveon,79,https://p.scdn.co/mp3-preview/12200deba2a2f8126ff4430d35fec1be2969e87f?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.449,0.465,0.0,-8.964,1.0,0.0791,0.524,1.02e-06,0.303,0.543,89.087,audio_features,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,https://api.spotify.com/v1/tracks/3FAJ6O0NOHQV8Mc5Ri6ENp,https://api.spotify.com/v1/audio-analysis/3FAJ6O0NOHQV8Mc5Ri6ENp,198371.0,3.0
563SfWAHJs4FBZMkRN0IFN,Send My Love (To Your New Lover),2015-11-20,Adele,71,https://p.scdn.co/mp3-preview/454f693eeb9b383539f5d26ecdc7cd44c6d20292?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.688,0.533,6.0,-8.363,0.0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,audio_features,spotify:track:563SfWAHJs4FBZMkRN0IFN,https://api.spotify.com/v1/tracks/563SfWAHJs4FBZMkRN0IFN,https://api.spotify.com/v1/audio-analysis/563SfWAHJs4FBZMkRN0IFN,223079.0,4.0
0YammaEkYSeo9vQYZ1OwS6,Say My Name,2018-09-14,David Guetta,65,https://p.scdn.co/mp3-preview/08d9f01f54c783b1a6ae7999d22013345c253b45?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.703,0.66,10.0,-5.119,0.0,0.123,0.137,0.0,0.192,0.79,95.031,audio_features,spotify:track:0YammaEkYSeo9vQYZ1OwS6,https://api.spotify.com/v1/tracks/0YammaEkYSeo9vQYZ1OwS6,https://api.spotify.com/v1/audio-analysis/0YammaEkYSeo9vQYZ1OwS6,198947.0,4.0
58q2HKrzhC3ozto2nDdN4z,I Like It,2018-04-06,Cardi B,75,https://p.scdn.co/mp3-preview/0fe3542d88da43dd131627df756ac1ce318713fd?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,253390.0,4.0
2dpaYNEQHiRxtZbfNsse99,Happier,2018-08-17,Marshmello,11,https://p.scdn.co/mp3-preview/a23fe33122a12a302b97c443ab82473ce55df8fd?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.011,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214290.0,4.0
5DqdesEfbRyOlSS3Tf6c29,It's You,2019-11-08,Ali Gatie,74,https://p.scdn.co/mp3-preview/6e72053e14390cfe06f7516e289ef2a82383f986?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.732,0.463,11.0,-6.972,0.0,0.0287,0.374,0.0,0.194,0.397,95.971,audio_features,spotify:track:5DqdesEfbRyOlSS3Tf6c29,https://api.spotify.com/v1/tracks/5DqdesEfbRyOlSS3Tf6c29,https://api.spotify.com/v1/audio-analysis/5DqdesEfbRyOlSS3Tf6c29,212607.0,4.0
285HeuLxsngjFn4GGegGNm,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",2014-11-10,David Guetta,72,https://p.scdn.co/mp3-preview/bfdf41e3d62f4be205ae8438a6bf6048909dae9a?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.596,0.73,9.0,-4.091,1.0,0.151,0.24,0.0,0.325,0.525,85.979,audio_features,spotify:track:285HeuLxsngjFn4GGegGNm,https://api.spotify.com/v1/tracks/285HeuLxsngjFn4GGegGNm,https://api.spotify.com/v1/audio-analysis/285HeuLxsngjFn4GGegGNm,192560.0,4.0
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,2020-11-06,The Kid LAROI,4,https://p.scdn.co/mp3-preview/0cacbf2acaef9fc50d9ecd1f29eb33e543a5bc63?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,audio_features,spotify:track:27OeeYzk6klgBh83TSvGMA,https://api.spotify.com/v1/tracks/27OeeYzk6klgBh83TSvGMA,https://api.spotify.com/v1/audio-analysis/27OeeYzk6klgBh83TSvGMA,161385.0,4.0
0b11D9D0hMOYCIMN3OKreM,Into Your Arms (feat. Ava Max),2018-06-08,Witt Lowry,70,https://p.scdn.co/mp3-preview/bdb8e47f51b0280c493640f4ef938fbae78ce2f9?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.504,0.788,3.0,-4.113,0.0,0.214,0.0132,0.0,0.363,0.228,169.907,audio_features,spotify:track:0b11D9D0hMOYCIMN3OKreM,https://api.spotify.com/v1/tracks/0b11D9D0hMOYCIMN3OKreM,https://api.spotify.com/v1/audio-analysis/0b11D9D0hMOYCIMN3OKreM,186022.0,4.0
4DpNNXFMMxQEKl7r0ykkWA,Play Date,2015-08-14,Melanie Martinez,74,https://p.scdn.co/mp3-preview/02571c396fcc7c23b6af493d60ea9121c1f397b1?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.68,0.729,5.0,-5.077,1.0,0.0475,0.612,0.0,0.224,0.446,123.97,audio_features,spotify:track:4DpNNXFMMxQEKl7r0ykkWA,https://api.spotify.com/v1/tracks/4DpNNXFMMxQEKl7r0ykkWA,https://api.spotify.com/v1/audio-analysis/4DpNNXFMMxQEKl7r0ykkWA,179867.0,4.0
3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),2019-12-06,Camila Cabello,72,https://p.scdn.co/mp3-preview/ea3ba7014fbff5a201d98ddab8d94e13fe56bb16?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.724,0.491,8.0,-6.024,1.0,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,audio_features,spotify:track:3yOlyBJuViE2YSGn3nVE1K,https://api.spotify.com/v1/tracks/3yOlyBJuViE2YSGn3nVE1K,https://api.spotify.com/v1/audio-analysis/3yOlyBJuViE2YSGn3nVE1K,170746.0,4.0
62usIcDxqFIQ7x5qN91hrN,I Need Your Love,2013-09-13,Madilyn Bailey,0,https://p.scdn.co/mp3-preview/51fe8c1224eab838a6bb692d0ceb3579de12082d?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.562,0.252,3.0,-7.428,1.0,0.0356,0.864,0.0,0.124,0.289,110.825,audio_features,spotify:track:62usIcDxqFIQ7x5qN91hrN,https://api.spotify.com/v1/tracks/62usIcDxqFIQ7x5qN91hrN,https://api.spotify.com/v1/audio-analysis/62usIcDxqFIQ7x5qN91hrN,199797.0,4.0
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,2021-05-14,Bella Poarch,67,https://p.scdn.co/mp3-preview/a4418753144a9ae47dd009b4a6e53a7ece1fcc57?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.855,0.463,3.0,-7.454,1.0,0.0367,0.217,1.77e-05,0.347,0.866,102.931,audio_features,spotify:track:7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/tracks/7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/audio-analysis/7BoobGhD4x5K96Me0hqC8Q,122773.0,4.0
0i0wnv9UoFdZ5MfuFGQzMy,Last Hurrah,2019-02-15,Bebe Rexha,57,https://p.scdn.co/mp3-preview/f7ba20cfdeee8a4d8b27732e121336369cb0e48c?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.514,0.618,11.0,-4.585,0.0,0.0317,0.175,0.0,0.117,0.401,84.259,audio_features,spotify:track:0i0wnv9UoFdZ5MfuFGQzMy,https://api.spotify.com/v1/tracks/0i0wnv9UoFdZ5MfuFGQzMy,https://api.spotify.com/v1/audio-analysis/0i0wnv9UoFdZ5MfuFGQzMy,150333.0,4.0
0l0CvurVUrr2w3Jj1hOVFc,NO,2017-05-12,Meghan Trainor,72,https://p.scdn.co/mp3-preview/4975f83b20eedaba7dc1c5b805395bf45851913d?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.557,0.803,1.0,-3.599,0.0,0.213,0.0124,1.61e-06,0.737,0.657,92.134,audio_features,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,https://api.spotify.com/v1/tracks/0l0CvurVUrr2w3Jj1hOVFc,https://api.spotify.com/v1/audio-analysis/0l0CvurVUrr2w3Jj1hOVFc,213507.0,4.0
1058fW9H3fZA6QjYCdOBad,Don't Go Yet,2021-07-23,Camila Cabello,65,https://p.scdn.co/mp3-preview/6af5e636aa35cc53f1b9d8476075c3d1f41c67ee?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.666,0.796,10.0,-6.967,0.0,0.103,0.0492,0.0,0.0442,0.61,110.108,audio_features,spotify:track:1058fW9H3fZA6QjYCdOBad,https://api.spotify.com/v1/tracks/1058fW9H3fZA6QjYCdOBad,https://api.spotify.com/v1/audio-analysis/1058fW9H3fZA6QjYCdOBad,164842.0,4.0
7gmHi5czs1e2nEJBSwwH1Y,Armor,2017-07-19,Nightcore Dreams,38,https://p.scdn.co/mp3-preview/562aced747a660d7fdafc8fa4c5d23d8d3a00693?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.566,0.477,10.0,-13.279,0.0,0.0307,0.164,0.0,0.0992,0.416,89.108,audio_features,spotify:track:7gmHi5czs1e2nEJBSwwH1Y,https://api.spotify.com/v1/tracks/7gmHi5czs1e2nEJBSwwH1Y,https://api.spotify.com/v1/audio-analysis/7gmHi5czs1e2nEJBSwwH1Y,184059.0,4.0
3fvY2U1AzW0diYF0hnBbKt,Rockabye (feat. Sean Paul & Anne-Marie),2018-04-27,Clean Bandit,58,https://p.scdn.co/mp3-preview/c3229dcccd8ec83cba57f7437fdc38898678fe21?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.724,0.759,9.0,-3.996,0.0,0.0542,0.412,0.0,0.437,0.765,101.946,audio_features,spotify:track:3fvY2U1AzW0diYF0hnBbKt,https://api.spotify.com/v1/tracks/3fvY2U1AzW0diYF0hnBbKt,https://api.spotify.com/v1/audio-analysis/3fvY2U1AzW0diYF0hnBbKt,250456.0,4.0
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,2016-07-29,Martin Garrix,79,https://p.scdn.co/mp3-preview/4ed5a7f1b466a7635d625240b600af899a8e5b51?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.454,0.168,133.99,audio_features,spotify:track:23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,195707.0,4.0
1almCHdsfikRPfVB9VrEdT,Little Do You Know,2014-10-06,Alex & Sierra,70,https://p.scdn.co/mp3-preview/0d543b0bbd911bb479d6c0a533c059cab4921f9c?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.5,0.292,0.0,-8.554,1.0,0.0323,0.746,0.0,0.188,0.37,145.879,audio_features,spotify:track:1almCHdsfikRPfVB9VrEdT,https://api.spotify.com/v1/tracks/1almCHdsfikRPfVB9VrEdT,https://api.spotify.com/v1/audio-analysis/1almCHdsfikRPfVB9VrEdT,185200.0,4.0
2ePtv8MlBO9nuuXABqAfEX,SugarCrash!,2020-08-25,ElyOtto,67,https://p.scdn.co/mp3-preview/f95a14f4068c2d4fec8d2133cd3742bb88f2ba34?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.748,0.734,0.0,-6.499,1.0,0.124,0.524,1.15e-05,0.0975,0.368,97.753,audio_features,spotify:track:2ePtv8MlBO9nuuXABqAfEX,https://api.spotify.com/v1/tracks/2ePtv8MlBO9nuuXABqAfEX,https://api.spotify.com/v1/audio-analysis/2ePtv8MlBO9nuuXABqAfEX,80081.0,4.0
7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",2016-03-25,gnash,74,https://p.scdn.co/mp3-preview/a93e5e2523f2107dd70eae49018fae0a7f88d24c?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.492,0.275,6.0,-13.4,0.0,0.3,0.687,0.0,0.101,0.18,92.6,audio_features,spotify:track:7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe,251034.0,4.0
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,2015-11-06,Joel Adams,65,https://p.scdn.co/mp3-preview/f235bc61d3d1a5c27c975b9857cff3c5c79db464?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.513,0.768,4.0,-4.868,0.0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,audio_features,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/tracks/3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/audio-analysis/3cNjgVBKTJ1SvKhunrCdVy,210580.0,4.0
7xHWNBFm6ObGEQPaUxHuKO,The Greatest (feat. Kendrick Lamar),2016-10-21,Sia,65,https://p.scdn.co/mp3-preview/873fb7b286131f05434bc7c56899c513f61adb2a?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.668,0.725,1.0,-6.127,1.0,0.266,0.0102,0.000479,0.0561,0.729,191.944,audio_features,spotify:track:7xHWNBFm6ObGEQPaUxHuKO,https://api.spotify.com/v1/tracks/7xHWNBFm6ObGEQPaUxHuKO,https://api.spotify.com/v1/audio-analysis/7xHWNBFm6ObGEQPaUxHuKO,210227.0,4.0
